customer_ID,MARKETING_CHANNEL,ACCOUNT_CREATION_METHOD,LOYALTY_PROGRAM,CREATED_ON,COUNTRY_CODE
2c06175e,affiliate,unknown,0,2020/10/5,US
ee8e5bc2,direct,desktop,0,2019/7/16,DE
9eb4efe0,direct,desktop,0,2018/10/18,US
cac7cbaf,direct,desktop,0,2018/12/22,AU
6b0230bc,direct,desktop,1,2019/10/15,TR
046e7528,direct,desktop,0,2020/6/13,PH
94dfec76,direct,desktop,1,2018/5/19,GB
8a328a1d,direct,desktop,1,2019/4/5,BR
46c57b58,direct,desktop,1,2017/7/11,BE
a2eaa1d1,direct,desktop,0,2018/9/21,US
c7c492f8,direct,desktop,0,2019/7/25,FR
d71c06c6,direct,desktop,1,2019/8/20,KR
9933b602,direct,desktop,0,2020/1/18,US
bbbaa7ff,direct,desktop,1,2020/3/6,US
68673786,direct,desktop,1,2020/4/1,ES
1802f1a0,direct,desktop,1,2020/2/13,AU
2abdb1d2,direct,desktop,1,2020/3/1,US
deba2f70,direct,desktop,0,2018/11/3,US
d9f8bd41,direct,desktop,1,2017/6/26,US
d37ef9f9,direct,desktop,1,2019/3/11,US
1962fd4e,direct,desktop,1,2018/10/1,US
6ee318a8,direct,desktop,0,2020/1/24,US
0d688544,direct,desktop,1,2018/5/15,UA
eb7713b2,direct,desktop,1,2019/2/4,AT
fbe55d88,direct,desktop,1,2019/5/28,FR
44b1b815,direct,desktop,1,2020/9/4,IN
4f91bdc5,email,mobile,1,2018/7/3,AU
7aaa16c9,direct,desktop,1,2019/7/9,US
fab63d82,direct,desktop,0,2018/6/20,US
6967b8ad,direct,desktop,0,2020/8/22,US
0548e915,direct,desktop,1,2017/12/27,FR
08c6e99f,direct,desktop,1,2019/7/5,US
9ac1cd5e,direct,desktop,0,2017/12/4,US
57f26b8e,direct,desktop,1,2017/8/16,DE
1cd9f372,direct,desktop,1,2020/3/5,US
3b36f3e4,direct,desktop,0,2019/5/14,GB
f15289db,direct,desktop,1,2018/8/7,US
38e64dc5,direct,desktop,1,2018/11/23,BR
926c7df9,direct,desktop,1,2018/3/24,IL
99af8f03,direct,desktop,1,2019/1/22,US
634fb356,direct,desktop,1,2018/9/20,US
e0154ee5,direct,desktop,1,2019/11/24,US
64a4a80c,direct,desktop,0,2019/7/14,BR
9d21a9e5,direct,desktop,1,2018/11/19,US
e57a0a97,email,mobile,0,2018/11/16,FR
0e6f746e,direct,desktop,1,2019/8/19,GB
f9146908,direct,desktop,1,2020/6/20,ES
09018b2b,email,mobile,1,2019/3/31,US
f0fbb10a,direct,desktop,1,2019/1/22,GB
e89caee7,direct,desktop,1,2019/12/14,US
9f46220f,email,desktop,1,2018/11/19,US
ac27bd8b,direct,desktop,0,2020/4/19,PL
39537b46,direct,desktop,0,2019/3/9,DK
d3bc266b,email,mobile,1,2018/8/10,US
ac4a35e7,direct,desktop,0,2019/12/18,US
d9c07c28,direct,desktop,1,2019/2/11,US
d3fa4c85,direct,desktop,1,2019/7/30,FR
a51faa7f,direct,desktop,1,2020/4/20,AR
8f9aed61,direct,desktop,1,2019/1/30,CH
1ce8cd34,direct,desktop,1,2020/7/7,US
decd0261,direct,desktop,1,2018/11/16,AU
4db5dd8c,direct,desktop,1,2019/10/4,US
8b195040,social media,tablet,1,2019/5/26,US
0f7782c4,direct,desktop,1,2019/10/30,CL
1af9c7de,direct,desktop,0,2019/3/23,US
d8844c3d,direct,desktop,1,2018/7/11,RO
d89ecd98,direct,desktop,1,2019/12/7,VN
771f93ec,direct,desktop,1,2020/11/17,JM
6c25c271,direct,desktop,1,2020/6/17,KR
14934774,direct,desktop,1,2020/6/14,AU
f4359879,direct,desktop,1,2019/4/18,IL
34918d84,direct,desktop,1,2020/11/15,US
05dc958a,email,mobile,1,2018/11/27,AU
34706fc2,email,desktop,1,2020/4/20,US
de2c5271,direct,desktop,0,2019/12/23,DE
9dc3f2a2,direct,desktop,1,2019/1/27,GB
d2d7219f,direct,desktop,1,2019/7/2,US
7396c7e8,direct,desktop,1,2019/4/15,KR
6eee6248,direct,desktop,1,2019/4/14,FR
2.86E+30,direct,desktop,1,2018/10/15,US
ef0df8dc,direct,desktop,1,2020/1/18,US
5438b3b6,direct,desktop,1,2018/12/14,CH
bddb2688,email,desktop,1,2018/11/12,IN
a60e8c9e,email,desktop,1,2019/12/27,US
3f6a2d44,direct,desktop,1,2018/10/18,US
2307420b,direct,desktop,0,2019/11/30,US
f84a6a06,direct,desktop,1,2017/10/1,US
a6849c66,direct,desktop,1,2019/3/14,DK
994ab136,direct,desktop,0,2018/9/20,US
3352f4f3,direct,desktop,1,2019/1/28,US
55b7dbdf,direct,desktop,0,2019/3/1,PL
672be6d5,email,mobile,0,2018/8/4,GB
c8766580,email,mobile,1,2019/7/13,IT
f9b43d7c,direct,desktop,1,2019/7/5,DE
e277825c,direct,desktop,1,2019/5/2,US
83453728,direct,desktop,1,2020/10/11,AU
344a615d,direct,desktop,1,2020/8/27,US
08e4bdbb,direct,desktop,1,2019/9/29,US
f42da604,direct,desktop,0,2018/9/18,US
64e1dd19,direct,desktop,0,2019/10/5,GB
0d2a4881,direct,desktop,0,2017/10/6,BB
cc617886,direct,desktop,0,2019/6/14,RO
e8d19822,direct,desktop,1,2019/8/18,UA
be40951c,direct,desktop,0,2019/9/4,IN
d53cf7be,email,desktop,0,2018/10/5,US
d9c130fc,direct,desktop,0,2019/2/21,US
846d7b4d,direct,desktop,1,2018/10/6,GB
5902d225,direct,desktop,1,2018/2/22,JP
324c4715,direct,desktop,1,2018/5/24,GB
15827421,direct,desktop,1,2020/1/28,US
5eae1b73,direct,desktop,1,2019/3/9,NO
389f8fbf,direct,desktop,1,2019/2/14,GB
9a2ce293,direct,desktop,1,2019/11/30,US
5a9f3dec,direct,desktop,0,2019/1/7,BR
df45ed89,direct,desktop,1,2020/2/22,HU
f5eb05f2,direct,desktop,0,2019/4/2,US
1b0b846e,direct,desktop,1,2018/11/14,US
cc167bcc,direct,desktop,1,2019/7/1,GB
72163ca9,direct,desktop,1,2019/6/19,US
913e52a3,direct,desktop,1,2017/11/28,CA
28803a37,affiliate,unknown,1,2019/4/6,US
efd983d6,direct,desktop,1,2018/11/1,CA
b2c56c19,direct,desktop,1,2019/11/19,GB
5116edc2,email,desktop,1,2019/11/26,US
23949611,email,desktop,1,2019/2/26,IT
ca537e40,direct,desktop,1,2020/4/10,VE
28ed2cbe,email,desktop,1,2018/10/4,US
edb247fe,affiliate,unknown,1,2018/6/20,US
6d61f88d,direct,desktop,1,2019/5/19,US
9.32E+87,direct,desktop,1,2018/10/9,JP
c9c41649,direct,desktop,1,2020/4/20,US
67459ef3,direct,desktop,1,2018/9/19,US
a25218b3,direct,desktop,1,2019/2/2,US
82ab6848,email,desktop,1,2019/6/2,US
9158bc70,direct,desktop,0,2018/10/4,US
1a17b8d8,direct,desktop,1,2017/12/23,US
f8acaad8,direct,desktop,0,2020/2/7,NZ
b47a86b9,direct,desktop,1,2018/10/26,US
4ee06afc,direct,desktop,1,2018/2/16,GB
05c1da16,direct,desktop,1,2017/11/1,FR
