ID,customer_ID,PURCHASE_TS,PRODUCT_ID,PRODUCT_NAME,USD_PRICE,PURCHASE_PLATFORM,MARKETING_CHANNEL,LOYALTY_PROGRAM
0001328c3c220830,2c06175e,2020/12/24,e682,Nintendo Switch,168,website,affiliate,0
0002af7a5c6100772,ee8e5bc2,2020/10/1,e682,Nintendo Switch,160.61,website,direct,0
0002b8350e167074,9eb4efe0,2020/4/21,8d0d,Nintendo Switch,151.2,website,direct,0
0006d06b98385729,cac7cbaf,2020/4/7,54ed,Sony PlayStation 5 Bundle,1132.82,website,direct,0
00097279a2f46150,6b0230bc,2020/11/24,8d0d,Nintendo Switch,33.89,website,direct,1
000f169e17f4941,046e7528,2020/8/20,8d0d,Nintendo Switch,168,website,direct,0
000fdd9bfe463101,94dfec76,2020/5/11,891b,27in 4K gaming monitor,390.59,website,direct,1
0010d31e3c058676,8a328a1d,2020/7/3,891b,27in 4K gaming monitor,480,website,direct,1
0013ac51a8831707,46c57b58,2019/3/24,ab0f,JBL Quantum 100 Gaming Headset,22.22,website,direct,1
001620ea42468912,a2eaa1d1,2019/11/1,e682,Nintendo Switch,168,website,direct,0
0016654fc8584512,c7c492f8,2019/12/9,8d0d,Nintendo Switch,150.53,website,direct,0
00236994a0b90874,d71c06c6,2019/8/30,8d0d,Nintendo Switch,146.25,website,direct,1
002a0b04dd764807,9933b602,2020/2/16,54ed,Sony PlayStation 5 Bundle,1725.86,website,direct,0
002f0b22bb379479,bbbaa7ff,2020/5/14,e682,Nintendo Switch,168,website,direct,1
003ed9bd3d71799,68673786,2020/10/26,8d0d,Nintendo Switch,134.41,website,direct,1
004602d9c2d12771,1802f1a0,2020/10/13,54ed,Sony PlayStation 5 Bundle,1368.45,website,direct,1
004d6bc82f820293,2abdb1d2,2020/10/25,e7e6,27in 4K gaming monitor,480,website,direct,1
004eca8109c94135,deba2f70,2019/12/24,e682,Nintendo Switch,168,website,direct,0
0053e1f565292085,d9f8bd41,2019/5/20,ab0f,JBL Quantum 100 Gaming Headset,24,website,direct,1
006116b394689293,d37ef9f9,2020/12/23,891b,27in 4K gaming monitor,312,website,direct,1
00617fd9ac813297,1962fd4e,2019/3/23,ab0f,JBL Quantum 100 Gaming Headset,19.2,website,direct,1
0064a61f5e347824,6ee318a8,2020/12/6,2997,JBL Quantum 100 Gaming Headset,24,mobile app,direct,0
006b12955f18514,0d688544,2020/4/1,891b,27in 4K gaming monitor,480,website,direct,1
