ORDER_ID,PURCHASE_TS,SHIP_TS,DELIVERY_TS,REFUND_TS
0001328c3c220830,2020/12/24,2020/12/25,2020/12/29,
0002af7a5c6100772,2020/10/1,2020/10/6,2020/10/19,
0002b8350e167074,2020/4/21,2020/4/25,2020/5/5,
0006d06b98385729,2020/4/7,2020/4/11,2020/4/25,2022/4/28
00097279a2f46150,2020/11/24,2020/11/25,2020/12/4,
000f169e17f4941,2020/8/20,2020/8/25,2020/9/5,
000fdd9bfe463101,2020/5/11,2020/5/12,2020/5/19,
0010d31e3c058676,2020/7/3,2020/7/5,2020/7/17,
0013ac51a8831707,2019/3/24,2019/3/28,2019/4/6,
001620ea42468912,2019/11/1,2019/11/6,2019/11/14,
0016654fc8584512,2019/12/9,2019/12/13,2019/12/18,
00236994a0b90874,2019/8/30,2019/8/31,2019/9/7,
002a0b04dd764807,2020/2/16,2020/2/17,2020/2/21,
002f0b22bb379479,2020/5/14,2020/5/17,2020/5/23,
003ed9bd3d71799,2020/10/26,2020/10/31,2020/11/10,2025/6/28
004602d9c2d12771,2020/10/13,2020/10/14,2020/10/26,
004d6bc82f820293,2020/10/25,2020/10/28,2020/11/2,
004eca8109c94135,2019/12/24,2019/12/26,2020/1/6,
0053e1f565292085,2019/5/20,2019/5/23,2019/6/5,
006116b394689293,2020/12/23,2020/12/26,2020/12/29,
00617fd9ac813297,2019/3/23,2019/3/25,2019/3/28,
0064a61f5e347824,2020/12/6,2020/12/8,2020/12/16,
006b12955f18514,2020/4/1,2020/4/3,2020/4/8,2022/4/16
006e82641e899478,2020/9/6,2020/9/11,2020/9/14,
006f6e37919106394,2020/6/25,2020/6/30,2020/7/11,
00740cb808130885,2020/9/18,2020/9/21,2020/10/2,2022/9/12
0076d16bf5a35309,2020/5/7,2020/5/12,2020/5/24,
0077b0c58a652405,2020/10/24,2020/10/25,2020/11/3,
0078e0a047f105931,2020/6/15,2020/6/16,2020/6/29,
007d7cc247b45508,2020/12/23,2020/12/26,2020/12/31,
007de4bffd25269,2019/8/26,2019/8/28,2019/9/4,
007ecf8f7136611,2019/11/3,2019/11/7,2019/11/20,
0080c27c2f965438,2019/5/23,2019/5/25,2019/5/28,
00812c6619a38526,2019/6/11,2019/6/12,2019/6/24,
00847ae8fe214786,2020/7/2,2020/7/7,2020/7/18,
0085ba4831e26979,2020/8/10,2020/8/11,2020/8/15,
00871b8548a101993,2020/5/16,2020/5/18,2020/6/1,
00892ce0ebd26044,2020/2/1,2020/2/2,2020/2/6,
008a0fca3a862127,2019/9/27,2019/9/28,2019/10/10,
008a0fca3a862128,2019/9/27,2019/10/2,2019/10/13,
008eab8ad4a64990,2020/9/15,2020/9/18,2020/9/25,
0092f3f12b143001,2020/6/4,2020/6/7,2020/6/13,
0097a73104894748,2020/9/25,2020/9/27,2020/10/3,2022/9/3
009974bf84f43531,2020/9/19,2020/9/24,2020/9/27,
009974bf84f43532,2020/9/19,2020/9/22,2020/10/3,
009e134dbfe66439,2019/9/15,2019/9/20,2019/10/2,
00a42f4219d96941,2020/4/20,2020/4/24,2020/4/29,
00a699348aa8944,2020/3/29,2020/4/2,2020/4/13,
00b512ca418105222,2020/7/5,2020/7/8,2020/7/14,
00bc5a48b456724,2020/5/5,2020/5/9,2020/5/19,
00bdb7840ac101863,2020/12/13,2020/12/17,2020/12/25,2022/2/26
00bde52c76d98228,2020/7/13,2020/7/15,2020/7/28,
00c862ab35d67337,2020/10/12,2020/10/16,2020/10/23,
00cb82187c772953,2020/12/18,2020/12/23,2020/12/31,2025/12/8
00cb82187c772955,2020/12/18,2020/12/21,2021/1/4,
00d48fb840f26192,2019/3/31,2019/4/1,2019/4/12,
00d9d5c0cb989399,2019/11/23,2019/11/27,2019/12/3,
00d9d5c0cb989400,2019/11/23,2019/11/27,2019/12/4,
00d9ddde0f472990,2020/4/24,2020/4/28,2020/5/5,
00de368919c91978,2020/9/23,2020/9/28,2020/10/6,
00df5117a6889483,2020/11/20,2020/11/23,2020/12/6,2025/9/19
00e08d40d7469918,2020/7/9,2020/7/12,2020/7/23,
00ec0cc704660970,2019/6/5,2019/6/8,2019/6/14,
00ed094f87014811,2020/8/25,2020/8/29,2020/9/4,
00ee5ee189c94165,2020/4/29,2020/5/1,2020/5/6,
00f15ae835b34521,2020/2/20,2020/2/23,2020/3/5,
00f26815f6b59102,2020/8/9,2020/8/11,2020/8/25,
00f6e1447189376,2020/9/21,2020/9/25,2020/10/5,
00f7a74196313980,2019/7/16,2019/7/17,2019/7/28,
00f7ede0e9591467,2020/4/28,2020/4/30,2020/5/6,
00fb616915f91518,2020/8/7,2020/8/11,2020/8/17,
00fc0753e6f51019,2020/12/27,2020/12/28,2021/1/8,
00fe3d4867f46669,2020/8/18,2020/8/19,2020/9/2,
00fe3d4867f46670,2020/8/18,2020/8/20,2020/8/31,
01015969b42424,2020/12/27,2020/12/29,2021/1/2,
0103f8010c1103224,2019/7/22,2019/7/24,2019/8/7,
010479a65fb24299,2020/12/17,2020/12/19,2020/12/29,
010800e77805514,2020/6/25,2020/6/26,2020/7/1,
010d124585e24253,2020/12/22,2020/12/24,2021/1/2,
010d19387f693888,2020/9/20,2020/9/22,2020/10/4,
010d19387f693889,2020/9/20,2020/9/25,2020/10/7,
010d2ebc3c966689,2020/11/17,2020/11/19,2020/12/3,
010d4eb3e9c88990,2020/11/3,2020/11/5,2020/11/19,
01100fc69e949628,2020/9/16,2020/9/19,2020/10/3,2023/7/30
01109e7002147835,2020/6/20,2020/6/21,2020/7/2,
0113581919b2869,2020/2/12,2020/2/13,2020/2/23,
01155ceb6d3101006,2020/9/6,2020/9/10,2020/9/17,
011ca48484737099,2019/4/3,2019/4/6,2019/4/18,
01240b0addd80379,2020/11/6,2020/11/10,2020/11/24,
012d170c73670354,2020/9/5,2020/9/6,2020/9/11,
012d170c73670355,2020/9/5,2020/9/9,2020/9/23,
012d170c73670356,2020/9/5,2020/9/9,2020/9/17,
0130063ced728738,2019/12/17,2019/12/19,2020/1/1,
0132f9e05c117182,2020/6/6,2020/6/10,2020/6/16,
013efdef6f5104898,2019/9/17,2019/9/22,2019/9/25,
013fb8a0d7e70570,2020/11/13,2020/11/15,2020/11/26,
01454de09e164831,2020/1/20,2020/1/25,2020/2/3,
014757c4fef23832,2020/5/2,2020/5/3,2020/5/10,
0148a5cc8a337680,2020/12/22,2020/12/25,2021/1/8,
014a46022b444563,2020/6/3,2020/6/7,2020/6/21,
015171a728384757,2020/7/30,2020/8/3,2020/8/10,
015337783af105484,2019/12/2,2019/12/6,2019/12/9,
0153766fdfa95672,2020/9/8,2020/9/10,2020/9/22,
01562d852912206,2020/12/7,2020/12/9,2020/12/16,
0157cb3b87924203,2020/9/10,2020/9/15,2020/9/24,2022/9/26
0157cb3b87924205,2020/9/10,2020/9/14,2020/9/24,
015be60c5e96663,2020/12/21,2020/12/24,2020/12/27,2024/1/19
0160b5ee5de103211,2020/2/27,2020/3/1,2020/3/8,
0164bd6b79e43617,2020/12/23,2020/12/28,2021/1/3,
0165295a5888413,2019/4/6,2019/4/8,2019/4/11,
01666da31fe86332,2020/8/10,2020/8/11,2020/8/19,
016f944514a98331,2020/11/14,2020/11/19,2020/11/27,
0179d78928080528,2020/12/31,2021/1/2,2021/1/13,
017ceab282490002,2020/9/26,2020/9/30,2020/10/12,
01910d25e6f91979,2019/6/3,2019/6/6,2019/6/15,
01966e496ad56332,2020/8/29,2020/9/1,2020/9/14,
019d534de7438940,2019/8/26,2019/8/29,2019/9/9,
019ea1edd9f23424,2019/9/13,2019/9/18,2019/10/2,
019edaa8cc8450,2020/7/31,2020/8/2,2020/8/7,
01a250384bb41265,2020/11/2,2020/11/3,2020/11/16,
01a7b9084cf25922,2020/12/20,2020/12/21,2020/12/29,
01a7b9084cf25923,2020/12/20,2020/12/22,2020/12/28,
01a835d3d4e65182,2020/10/4,2020/10/6,2020/10/18,
01b1eda6ce639613,2020/8/22,2020/8/24,2020/9/4,2022/9/14
01bbdc23a9094367,2020/8/28,2020/8/31,2020/9/11,
01be0d0748c103896,2020/3/14,2020/3/17,2020/3/25,
01c23f26e6814007,2020/3/21,2020/3/26,2020/4/6,
01c90a2887386232,2020/5/16,2020/5/19,2020/5/30,
01cdb62275349023,2020/8/23,2020/8/25,2020/9/2,
01d2109390161577,2019/10/30,2019/10/31,2019/11/11,
01d2d38627219374,2019/6/19,2019/6/23,2019/7/2,
01d519a163c101329,2020/10/30,2020/10/31,2020/11/13,
01d5aa1a9a475777,2020/3/28,2020/4/2,2020/4/6,
01d5d1ad23b35891,2020/10/16,2020/10/18,2020/10/23,
01d7ee766f5645,2020/9/24,2020/9/27,2020/10/4,
01d84a920ea85524,2020/10/11,2020/10/15,2020/10/26,
01e1b1499ef19541,2020/9/14,2020/9/17,2020/9/27,2025/1/11
01e1b1499ef19542,2020/9/14,2020/9/15,2020/9/18,
01e1cb7a2ce100417,2019/11/24,2019/11/28,2019/12/1,
01e4021ba8047206,2020/5/14,2020/5/16,2020/5/30,
01f0db9203c3058,2020/10/6,2020/10/9,2020/10/20,
01f33459c4385298,2020/6/5,2020/6/6,2020/6/14,
01fc522710c44602,2019/11/10,2019/11/15,2019/11/22,
0203fe9582668644,2020/5/8,2020/5/10,2020/5/23,
020cce9aa2655662,2020/12/21,2020/12/24,2021/1/4,
020cce9aa2655663,2020/12/21,2020/12/25,2021/1/6,2023/11/28
020cce9aa2655664,2020/12/21,2020/12/24,2020/12/30,
020e271af6861623,2019/9/4,2019/9/5,2019/9/14,
021211c2a8213612,2019/4/4,2019/4/5,2019/4/11,
021ed8fe4a6105079,2020/2/19,2020/2/23,2020/3/8,
021f288145676462,2020/5/9,2020/5/14,2020/5/23,
02297c9a51f34987,2019/12/16,2019/12/20,2020/1/3,
02315dfa11b5467,2019/4/13,2019/4/14,2019/4/26,
023ba0695fc94321,2020/5/26,2020/5/29,2020/6/2,
0242cc4791359258,2019/3/25,2019/3/29,2019/4/8,
0243a4dd3635120,2020/5/20,2020/5/21,2020/5/24,
024d449d47540661,2019/4/29,2019/5/4,2019/5/10,
024e81ab11c25936,2020/8/15,2020/8/18,2020/8/23,2022/9/13
025c5f5904722041,2020/12/11,2020/12/15,2020/12/18,
025c6614efa81615,2020/9/29,2020/10/4,2020/10/12,2022/9/4
025db6e6e6999002,2019/11/26,2019/11/27,2019/12/5,
025e88536a486311,2020/2/19,2020/2/20,2020/2/26,
026121054f852886,2019/4/4,2019/4/8,2019/4/21,
02676062a7f50800,2020/6/4,2020/6/7,2020/6/14,
026cfa1894450910,2019/11/4,2019/11/7,2019/11/17,
026e1bb10642075,2019/11/19,2019/11/23,2019/12/2,
026e1bb10642076,2019/11/19,2019/11/22,2019/12/3,
026e8acd51594337,2019/10/6,2019/10/9,2019/10/16,2021/12/12
026e8acd51594338,2019/10/6,2019/10/10,2019/10/14,2021/12/12
026e9c9f60e78250,2020/9/15,2020/9/18,2020/9/21,
0272be92e6586757,2020/9/6,2020/9/9,2020/9/12,
0279a146cf699196,2019/4/1,2019/4/4,2019/4/18,
0279b93a84080648,2020/12/27,2020/12/28,2021/1/7,
027e3798e042899,2019/9/4,2019/9/8,2019/9/20,
027e4e25e4d70571,2019/4/23,2019/4/27,2019/5/2,
027ebbee75263061,2020/4/28,2020/4/29,2020/5/11,
027f5de3dcc72442,2019/6/24,2019/6/25,2019/7/7,
027f68f705a15632,2020/3/11,2020/3/14,2020/3/26,
0287b6b671e92635,2020/9/6,2020/9/7,2020/9/20,
028ce43f5da10832,2019/12/3,2019/12/4,2019/12/13,
02961164c4c25958,2020/9/17,2020/9/20,2020/10/2,
029d69c29a953895,2020/9/2,2020/9/3,2020/9/15,2022/9/22
029fe3df5ee19974,2020/7/14,2020/7/17,2020/7/21,
029fe3df5ee19975,2020/7/14,2020/7/19,2020/8/2,
02a0b5bad9530396,2020/10/19,2020/10/23,2020/11/5,
02a2b4e65b715245,2020/9/15,2020/9/17,2020/9/23,
02a571814be62355,2020/7/13,2020/7/16,2020/7/28,
02a571814be62356,2020/7/13,2020/7/18,2020/7/25,
02a71daa0a198284,2020/5/28,2020/5/30,2020/6/9,
02a9296a5f933116,2020/9/4,2020/9/8,2020/9/16,2022/12/28
02a9296a5f933117,2020/9/4,2020/9/8,2020/9/11,
02aa0e4d5de74063,2020/8/25,2020/8/26,2020/9/8,
02aa499b74e29055,2020/12/11,2020/12/14,2020/12/26,2025/6/18
02b1afc23c435739,2020/9/28,2020/10/2,2020/10/14,
02b1afc23c435740,2020/9/28,2020/9/29,2020/10/11,
02b24e33e1031537,2020/11/26,2020/11/28,2020/12/9,
02b673f8ed830862,2020/7/20,2020/7/21,2020/8/2,
02b6e173d0121732,2019/8/21,2019/8/26,2019/8/29,
02b9c2d46d765362,2020/4/30,2020/5/1,2020/5/11,
02c527ac37237792,2020/12/23,2020/12/28,2021/1/1,2021/5/4
02c527ac37237793,2020/12/23,2020/12/27,2020/12/30,
02c5ef904c754040,2020/8/20,2020/8/21,2020/8/30,
02c8daf400843669,2020/7/2,2020/7/4,2020/7/15,
02ca21e942e84508,2019/11/21,2019/11/24,2019/12/4,
02cadb19c0257095,2019/6/11,2019/6/14,2019/6/20,
02cb21f2f5311822,2020/7/26,2020/7/30,2020/8/3,
02cce094b9035884,2020/3/13,2020/3/18,2020/3/25,
02ce667782d28591,2020/11/23,2020/11/25,2020/12/8,
02d2390d1ef2430,2020/11/21,2020/11/22,2020/11/30,
